epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.47520451879180514,0.9453917662976152,0.7811684564008551,0.984540977114338,0.26507452823600525,0.9688152084916325,0.5973880169250197,0.495876885389404,0.5002045187918052,0.20752862405102004,0.8951612903225806,0.7834359231131327,0.7878787878787878,0.25,21.241346495968376,-1.520163552566575,0.19164476633296124,0.967741935483871,3.4446639873106086,3.4446639873106086,1.0,0.03744599135861738,1.0,19.07294611155536,19.07294611155536,15.83387419817778,2.0,0.10690739425905264,1.0,38.487501916623785,38.487501916623785,13.318261044858327,2.0,0.38966836734693877,1.0,23.017157075480082,23.017157075480082,0.7070182924784543,0.4943737638963438,0.9420485175202157,9.656700029803211,5.902124031561323,0.0,5.0,0.22159112140801912,0.8,10.924609388444214,5.0500051158258445,0.8616701580185175,9.0,0.5170364583333333,1.0,63.21426043492633,18.597414186194644,0.7488094176911132,0.026352850895360345,0.8304597701149425,10.419608369761605,-7.065888660480393,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.02991975525600598,0.2857142857142857,82.84776442644385,66.47816448,0.9997510236155671,0.3252717391304348,0.5181992337164751,5.73336069809407,-1.8993894059938907,1.0,0.0,1.0,0.5405146931303255,0.5405146931303255,0.4590463493542638,0.0,8.0,0.4181994191674734,0.875,31.894576724227043,26.873727404528434,0.6170962037921062,0.0,0.6587301587301587,1.9016735049642228,-1.9016735049642228,0.0,2.0,0.0,0.0,4.26026474,4.26026474,1.0,2.0,0.0,0.0,59.44579767630145,59.44579767630145,1.0
2,0.00018090169943749473,0.5216600762442305,0.6927915311465829,0.6124450650255558,0.8658085099721359,0.10065610655346664,0.28879832394926225,0.26993436692124706,0.4287625062528759,0.552215631799786,0.2842203406157905,0.9130824372759856,0.8131314218553708,0.8,0.3055555555555556,15.140270478124187,-3.193226281892638,0.3504392764857881,0.8774193548387096,1.6922407665912094,1.654161983687186,1.0,0.2778816199376947,1.0,1.7139713334619642,1.7139713334619642,1.4228953573605334,2.0,0.18180021736982513,1.0,24.611639554294864,24.611639554294864,8.419913832002399,2.0,0.563980577762519,1.0,8.283981009564553,8.283981009564553,0.34202493338892664,0.6338243071247289,0.940700808625337,7.1959304919147735,4.348725595184609,0.0,5.0,0.23444708513910248,1.0,13.152207128643628,4.868139434401106,0.9535003852700312,9.0,0.689782013264821,1.0,37.21154056633094,13.865082925155864,0.5090119287482883,0.24750052536160908,0.8467432950191571,9.368967423312865,-4.758330666474052,0.0,2.0,0.0,0.5,2.1097325287987756,2.1097325287987756,0.7518790597340155,7.0,0.28523929346956034,0.7142857142857143,67.00643156432345,66.47816448,0.9829949129432369,0.13927593056140117,0.5277777777777778,6.346558213520802,-4.463682236846821,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.16459849555823167,0.875,45.12069775791442,40.07202041008175,0.9262124406355208,0.05006166354542548,0.873015873015873,2.2406969612825587,0.025899042556441224,0.0,2.0,0.016178736517719568,1.0,7.2847636399442655,7.2847636399442655,1.4031722748372981,2.0,0.07989961330635868,1.0,36.253527525893304,36.253527525893304,0.6343165528672361
3,0.00015877852522924732,0.5634341309937022,0.5557133106356961,0.4849336872161445,0.6728682218971899,0.1118734335653105,0.16827314617901534,0.19809111533528667,0.7085615251289217,0.5967674643270355,0.37518253753882014,0.9068100358422938,0.7891603861866419,0.821917808219178,0.3333333333333333,13.68247195420166,1.9758023807876635,0.48817044171690727,0.9387096774193548,0.9414982754407073,-0.22495729899847947,1.0,0.025,0.0,1.1890830184564352,1.1890830184564352,0.9871464437275304,2.0,0.3311400885273358,1.0,7.251044038831365,7.251044038831365,2.007690076064848,2.0,0.5502964147925097,1.0,22.312454859904204,22.312454859904204,0.39562516701052186,0.6516912261389507,0.9211590296495957,3.9571349232087947,-0.12534966676018452,0.0,5.0,0.4344510068362554,1.0,5.642857010695723,2.303123616408717,0.4511023739484121,9.0,0.6725912509883694,1.0,23.934338349876175,19.06690864635482,0.5291009640879003,0.34807995484536486,0.7969348659003831,10.439123745737712,-0.7436165313598373,0.0,2.0,0.2984531392174704,0.5,1.8947034037315174,1.8947034037315174,0.6856155229633889,7.0,0.4470578943778517,1.0,53.1481513341097,58.588786817312766,0.7106894412890389,0.2684153933971406,0.5469348659003831,5.881987034814216,-3.127508137130283,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.3210619497129973,0.875,37.58007690451759,35.73590891535024,0.8331302581867279,0.1195556715957371,0.742063492063492,6.797676209286581,6.1972340150364476,0.0,2.0,0.06314110496933696,1.0,40.97269328256383,40.97269328256383,6.746359436392055,2.0,0.2172886389639475,1.0,84.31920090637492,84.31920090637492,1.2929524972332387
4,0.00013090169943749474,0.5587270546407385,0.4348570617073673,0.38180261057312204,0.5236425240161056,0.10251291374660144,0.11110925060712686,0.1485661841802678,0.5304301701826833,0.578171499085183,0.3300819555378191,0.9050179211469533,0.8341403146353091,0.8656716417910447,0.19444444444444445,13.371012723120923,-7.767615200331702,0.4514052031671452,0.9016129032258066,0.967690382070443,-0.6945445144676287,1.0,0.05737704918032787,0.0,1.1684390763983488,1.1684390763983488,0.9700083686975708,2.0,0.47233904885150435,1.0,3.7772089887029647,3.7772089887029647,1.0043395513965905,2.0,0.4604043500474418,1.0,27.53163433651552,27.53163433651552,0.3696722179522957,0.6750133405555571,0.9285714285714286,5.678004506656321,3.252445140314657,0.0,5.0,0.40659177144557695,1.0,8.500038072652396,1.01287421097995,0.20242427461854673,9.0,0.7232430873845895,1.0,27.794817545611426,10.330940375838825,0.4229307788713767,0.1929270300802267,0.8659003831417624,9.579843759307442,-5.954163921385391,0.0,2.0,0.115625,0.5,2.74893214448777,2.74893214448777,0.9488552936499085,7.0,0.22317794878174482,0.8571428571428571,73.55591328774777,66.47816448,0.9174727900248938,0.22755972140857905,0.6829501915708812,6.0231301013169904,-4.099606365179316,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.260770110560427,0.75,42.241774825453284,31.92846445959436,0.7644656826311405,0.10350448247758762,0.7916666666666667,2.088283352960416,-0.27174553961402365,0.0,2.0,0.1009305054908207,1.0,8.558479169767942,8.558479169767942,1.4545168671237199,2.0,0.13483204946811297,1.0,39.18006834675268,39.18006834675268,0.67148000725562
5,9.999999999999999e-05,0.5507248891984037,0.37325867540755514,0.3280606513558808,0.4458670555535009,0.0998580615951727,0.06593511516575591,0.11901792067466146,0.5147848206701907,0.5896137780872925,0.3452754458133618,0.9166666666666666,0.8314152192662906,0.8,0.3888888888888889,13.268157164307746,1.091381411510905,0.5153895386047594,0.9241935483870968,0.9018916077232931,-0.6906444245861207,1.0,0.138996138996139,1.0,1.0910242936805248,1.0910242936805248,0.9057405873352224,2.0,0.426264800861141,1.0,2.9234601068459067,2.9234601068459067,0.7815668001930483,2.0,0.5492283895104141,1.0,26.071364970393024,26.071364970393024,0.39389742987687887,0.65770894150719,0.9204851752021564,5.657594439348322,3.0802374856349624,0.0,5.0,0.39486673247778875,1.0,7.330677811241921,1.5649960267135627,0.2670314866435737,9.0,0.7053598960065298,1.0,28.821402306983885,11.033148819777292,0.39897411924155013,0.37915370071031473,0.8390804597701149,10.42566236171446,0.2630180224615863,0.0,2.0,0.3888255416191562,0.5,1.6858422573418634,1.6858422573418634,0.6212527151371602,7.0,0.4859453748765999,1.0,48.1538429786125,43.687647828989256,0.69578844020117,0.06520040760869565,0.7193486590038314,6.3902082889596095,-5.379908311349472,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.07072065433645273,0.75,49.14017913579428,42.02317869378783,0.9493131430470118,0.10892464063584925,0.753968253968254,5.093475328010412,3.818678639349948,0.0,2.0,0.083485021442014,0.5,36.0612896905864,36.0612896905864,6.010876647586389,2.0,0.21558902000107436,1.0,46.15871597959982,46.15871597959982,0.7777094937234268
6,6.909830056250526e-05,0.535908403121566,0.3209504428051286,0.2834879812042592,0.38782527062852507,0.08071569976696776,0.06302141899606055,0.09413512417320478,0.46428935579155595,0.5775750697882326,0.32449001591374654,0.9265232974910393,0.807657145255735,0.7894736842105263,0.4166666666666667,11.37479572506034,0.9280139221719835,0.41982703297374935,0.8580645161290323,1.1289908833259923,-0.8387548364874813,1.0,0.2303473491773309,1.0,1.0161900037199616,1.0161900037199616,0.843615065351619,2.0,0.46213476446034585,1.0,4.492052880263996,4.492052880263996,1.3195067986396092,2.0,0.4163168316831683,1.0,32.4516458050157,32.4516458050157,0.4522537359905622,0.6819165260298852,0.9548517520215634,5.141200460984168,2.7302690420867393,0.0,5.0,0.4395811948265243,1.0,6.692085044457789,1.9875533692538738,0.35001625497021915,9.0,0.7159592152720682,1.0,28.52365061299753,10.665327239046913,0.4056584441114369,0.3979578662196672,0.8553639846743295,13.591094404993989,5.30568878575737,0.0,2.0,0.2948517940717629,0.5,5.590847146382265,5.590847146382265,1.824621956273535,7.0,0.5766294099441309,1.0,42.438975383250046,42.5572784656366,0.6564099664192219,0.033295985060690945,0.6954022988505747,6.102874544006236,-5.904513303178466,1.0,0.0,1.0,0.9890768979681246,0.9890768979681246,0.8399996244568949,0.0,8.0,0.033487026829062155,0.625,50.15730199783993,43.169709007903634,0.9944672211821184,0.08945266928474013,0.6746031746031746,2.2806959142665066,-0.364675766006178,0.0,2.0,0.1471004243281471,0.5,8.835800855106335,8.835800855106335,1.7209656639998234,2.0,0.10688533861162167,1.0,43.22291064456746,43.22291064456746,0.7582694974359285
