epoch,checkpoint_score,checkpoint_eligible,inner_total_volume_mae_ml,inner_total_volume_bias_ml,inner_normal_fpr,inner_presence_f1,train_loss,train_slice,train_study,train_total
0,-7.32572078704834,True,7.32572078704834,-3.3085834980010986,0.14285714285714285,0.8923076923076924,,,,
1,-7.358532905578613,True,7.358532905578613,-3.418250322341919,0.14285714285714285,0.8923076923076924,0.4304795345434776,0.09368550010885184,0.30157223945626843,0.4424593835495986
2,-7.366526126861572,True,7.366526126861572,-3.4180381298065186,0.14285714285714285,0.9090909090909091,0.43727055564522743,0.09442641012943707,0.3075264613502301,0.448797211337548
3,,False,7.3632426261901855,-3.4030754566192627,0.17142857142857143,0.9117647058823529,0.4306785169129188,0.09431542563610353,0.30344635849961865,0.4351132861696757
4,,False,7.361208915710449,-3.352454423904419,0.2571428571428571,0.8732394366197183,0.4323115265713288,0.09732517775577995,0.30444580932649284,0.4266079578262109
