epoch,checkpoint_score,checkpoint_eligible,inner_total_volume_mae_ml,inner_total_volume_bias_ml,inner_normal_fpr,inner_presence_f1,train_loss,train_slice,train_study,train_total
0,-6.114112377166748,True,6.114112377166748,1.1539479494094849,0.16666666666666666,0.8985507246376812,,,,
1,,False,6.007936477661133,1.072009563446045,0.25,0.8611111111111112,0.4363840904373389,0.09622815237022363,0.3067584056407213,0.4403485207316967
2,,False,5.986443996429443,1.13689124584198,0.3888888888888889,0.8205128205128205,0.4250324878555078,0.08992763436757602,0.2975766994059086,0.4476893122236316
3,,False,5.9646382331848145,1.181990385055542,0.4444444444444444,0.8,0.4199738516830481,0.0919532506332661,0.2938873671854918,0.43042031578862894
4,,False,5.922762393951416,1.2070581912994385,0.5,0.7804878048780488,0.4256116133183241,0.09472976248854628,0.3000619660776395,0.42334148893132806
