epoch,learning_rate,calibration_checkpoint_score,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_foreground_dice,train_foreground_focal,train_conditional_subtype,train_conditional_subtype_dice,train_subtype_ovr,train_classification,train_ivh_center,train_physical_volume,train_physical_volume_subtype,train_physical_volume_total,train_diffuse_tversky,train_sah_tversky,train_sah_positive_pixel
0,5e-05,0.5866680238812032,0.6661624032001503,0.4591058994385365,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.762715762077947,-6.236356064112846,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05302422351017982,0.9007936507936508,1.8452775987772128,-1.7972904782662302,0.0,2.0,0.0,0.5,4.0512448266618755,4.0512448266618755,0.9670648035950418,2.0,0.05937364795154258,1.0,56.96177046381578,56.96177046381578,0.9590279168068016,,,,,,,,,,,,,,,,,,
1,3.7500000000000003e-05,0.541954394459131,0.6412218659389333,0.4137594680545055,0.9233870967741936,0.9109201965113145,0.8955223880597015,0.16666666666666666,14.256507958767909,-11.318265019296005,0.6676980661260137,0.9870967741935484,0.5600851259919326,-0.2426982710188787,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.3891156462585034,1.0,5.9419357115551446,5.9419357115551446,1.7082432034960473,2.0,0.7332484385422352,1.0,12.212077849991164,12.212077849991164,0.21618235443629696,0.6855639534883721,0.9703504043126685,4.044293372821519,1.0989884338304612,0.0,5.0,0.42704420687662525,1.0,8.738942165519683,2.761119066271931,0.43561941887460237,9.0,0.744122854513867,1.0,17.308068849070075,10.03923523592616,0.3926920654537592,0.21069401989604547,0.8122605363984674,8.500069040620977,-7.024662222007845,0.0,2.0,0.10361067503924647,0.5,2.7623889785022753,2.7623889785022753,0.9530021617323483,7.0,0.22488432244726267,0.8571428571428571,73.50767419158014,54.214503081447646,0.9467526577828371,0.4528330920256555,0.8840996168582376,4.090211831125479,-3.374158318052159,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.46678058241227405,0.875,31.109865871681357,26.799919887099932,0.7290088627745048,0.05200820873644093,0.9007936507936508,1.81316844978571,-1.7757346420475846,0.0,2.0,0.0,0.5,3.3725752315022848,3.3725752315022848,0.8601270671196836,2.0,0.05892317401268808,1.0,56.74155155670539,56.74155155670539,0.9563759007186516,0.08847648110671012,0.08847648110671012,0.17635342763988884,0.03285044969310031,0.017297591355071876,0.17635342763988884,0.03285044969310031,0.04469990777100908,0.0514628538990965,0.17378608319100006,0.01625512690708636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2500000000000007e-05,0.5589092159954637,0.6528108648406694,0.43483037514857115,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,12.938718118916693,-9.763613806177698,0.6732137488726325,0.9870967741935484,0.5527463019077093,-0.251858240518408,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.40103139693614437,1.0,5.471346869148276,5.471346869148276,1.5401539293645716,2.0,0.7376914410985598,1.0,12.43353849973484,12.43353849973484,0.20848727705414777,0.6947707914416755,0.9703504043126685,4.252171583577605,1.68673402845225,0.0,5.0,0.4325466461340114,1.0,8.690364605407803,2.928880301769823,0.4620869670546053,9.0,0.7604601796377987,1.0,17.263938894810792,9.54759735966886,0.3421898788675283,0.2934430452874084,0.8122605363984674,7.970041034878772,-6.258198231559496,0.0,2.0,0.09905660377358491,0.5,2.7668745898404437,2.7668745898404437,0.9543844510931616,7.0,0.315811178158743,0.8571428571428571,67.3017523208573,48.54105914306693,0.9001096370809812,0.47217269141405954,0.8840996168582376,4.0512535480572005,-3.1083040480110866,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.4946332420595332,0.875,29.83346330553595,24.980525693743076,0.6690914131621133,0.04055159872707986,0.9007936507936508,1.862200835979985,-1.831987314540959,0.0,2.0,0.0,0.5,4.186720696418067,4.186720696418067,0.9884116901538109,2.0,0.04505050505050505,1.0,57.69093082480774,57.69093082480774,0.9711346314358643,0.07874702734768194,0.07874702734768194,0.17199341554452877,0.034267492996906804,0.012911259427224056,0.17199341554452877,0.034267492996906804,0.029099112545715636,0.03419831090240982,0.20363629835876007,0.01956379573042909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.5659557145153501,0.6579349048035885,0.4441468114447876,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,12.608209057686597,-9.493700555360963,0.6702543581252012,0.9870967741935484,0.44045925617911874,-0.013395309750791742,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.37008677896886166,1.0,7.046330188415906,7.046330188415906,1.9058644926577082,2.0,0.7461617195496417,1.0,7.106771906084571,7.106771906084571,0.10370132062917667,0.6919832202888292,0.9703504043126685,3.8833820867182074,1.1172881225649924,0.0,5.0,0.42740101779333745,1.0,8.823369137230902,3.0562545731663704,0.48218269808016306,9.0,0.7516762055084324,1.0,15.955888357277148,8.531678309634433,0.3796151371608065,0.2939146837024991,0.8122605363984674,8.069071567155225,-6.188040107909172,0.0,2.0,0.1436210847975554,0.5,2.6838907800843286,2.6838907800843286,0.9288120979181158,7.0,0.31791323670521693,0.8571428571428571,67.46363707921266,50.106530999456126,0.8988713267968611,0.5202544918846939,0.8840996168582376,3.7118767193579254,-2.5969973765888614,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.549387244911823,0.875,26.271226148777167,19.72565481824805,0.5017344712734714,0.04432730322271475,0.9007936507936508,1.843174622324292,-1.812555883677131,0.0,2.0,0.0,0.5,3.8486761452169023,3.8486761452169023,0.935146125597644,2.0,0.049622799664710816,1.0,57.38480983030692,57.38480983030692,0.9665155539021235,0.0719158684730333,0.0719158684730333,0.166373342373977,0.03352141189242931,0.014545446659251778,0.166373342373977,0.03352141189242931,0.01875502446144629,0.02451964809556212,0.20180859877927715,0.01809326214167418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
