epoch,delta_selection_proxy,delta_macro_subtype_auc,macro_subtype_auc,train_loss,train_slice,train_study
0,0.0,0.0,0.8088504611330698,,,
1,-0.0007382481648786021,-0.004921654432524014,0.8039288067005458,0.053915545946105266,0.018379537388682365,0.0710720171148458
2,-0.0006162831733484087,-0.004108554488989391,0.8047419066440804,0.026563182803356657,0.009892296748988044,0.033341772108737226
3,-0.00042897727272728226,-0.0028598484848485484,0.8059906126482212,0.01695493473956766,0.007433150348683389,0.019043568781768536
4,-0.00038352272727271153,-0.002556818181818077,0.8062936429512517,0.014726425766504573,0.006989710601583983,0.015473430329841184
