epoch,learning_rate,calibration_checkpoint_score,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center
0,0.0001,0.640509868928487,0.6599543133729315,0.4530834973595616,0.9202508960573477,0.8978874733864555,0.8823529411764706,0.19444444444444445,10.267765517485392,-6.061513650730048,0.6836463054896036,0.9838709677419354,0.2293686460886509,-0.07121314071905072,1.0,0.11133200795228629,0.0,1.1297316850394368,1.1297316850394368,0.9378744780163966,2.0,0.5180082660893525,1.0,3.0106798825002823,3.0106798825002823,0.8964008614164019,2.0,0.7160130900216318,1.0,4.016962270698986,4.016962270698986,0.058431590444831094,0.6991819673236398,0.9582210242587601,3.96641850558879,1.6075374816208459,0.0,5.0,0.44808445428230886,1.0,8.91052300735663,1.9736622300380495,0.45963626814904945,9.0,0.7543777681062953,1.0,17.102259618183407,11.793256111754381,0.2916389410339024,0.36507397206049713,0.7835249042145593,8.698854968123142,-3.590319677919844,0.0,2.0,0.29219363279546445,0.5,2.1077699422945155,2.1077699422945155,0.7512742676020199,7.0,0.4261854304122613,1.0,58.443230099777146,47.62151263716497,0.6469181267568286,0.4431393421060681,0.8352490421455938,4.3725748126302815,-2.40302971438625,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5043938444398023,0.75,28.225659828881724,28.519499499306626,0.8878608916517841,0.07437589981799908,0.9285714285714286,1.7526517661750531,-1.6044885993257492,0.0,2.0,0.0,0.5,3.6938465797812543,3.6938465797812543,0.9107496838161935,2.0,0.08597356108895657,1.0,52.53825454235718,52.53825454235718,0.8924219711869568,,,,,,,
1,9.330127018922194e-05,0.6414113572548394,0.6608558016992839,0.4530834973595616,0.9229390681003584,0.8985210514761169,0.8823529411764706,0.19444444444444445,10.267765517485392,-6.061513650730048,0.6836463054896036,0.9838709677419354,0.2293686460886509,-0.07121314071905072,1.0,0.11133200795228629,0.0,1.1297316850394368,1.1297316850394368,0.9378744780163966,2.0,0.5180082660893525,1.0,3.0106798825002823,3.0106798825002823,0.8964008614164019,2.0,0.7160130900216318,1.0,4.016962270698986,4.016962270698986,0.058431590444831094,0.6991819673236398,0.9568733153638815,3.96641850558879,1.6075374816208459,0.0,5.0,0.44808445428230886,1.0,8.91052300735663,1.9736622300380495,0.45963626814904945,9.0,0.7543777681062953,1.0,17.102259618183407,11.793256111754381,0.2916389410339024,0.36507397206049713,0.7902298850574714,8.698854968123142,-3.590319677919844,0.0,2.0,0.29219363279546445,0.5,2.1077699422945155,2.1077699422945155,0.7512742676020199,7.0,0.4261854304122613,1.0,58.443230099777146,47.62151263716497,0.6469181267568286,0.4431393421060681,0.8409961685823755,4.3725748126302815,-2.40302971438625,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5043938444398023,0.75,28.225659828881724,28.519499499306626,0.8878608916517841,0.07437589981799908,0.9206349206349206,1.7526517661750531,-1.6044885993257492,0.0,2.0,0.0,0.5,3.6938465797812543,3.6938465797812543,0.9107496838161935,2.0,0.08597356108895657,1.0,52.53825454235718,52.53825454235718,0.8924219711869568,0.2291497700776991,0.2039899405571494,0.28530466733592574,0.052372712490191875,0.02114647134916439,0.025159830013874045,0.0
2,7.500000000000001e-05,0.6407485838028558,0.6601930282473003,0.4530834973595616,0.9202508960573477,0.8994789058822471,0.8823529411764706,0.19444444444444445,10.267765517485392,-6.061513650730048,0.6836463054896036,0.9838709677419355,0.2293686460886509,-0.07121314071905072,1.0,0.11133200795228629,0.0,1.1297316850394368,1.1297316850394368,0.9378744780163966,2.0,0.5180082660893525,1.0,3.0106798825002823,3.0106798825002823,0.8964008614164019,2.0,0.7160130900216318,1.0,4.016962270698986,4.016962270698986,0.058431590444831094,0.6991819673236398,0.9568733153638814,3.96641850558879,1.6075374816208459,0.0,5.0,0.44808445428230886,1.0,8.91052300735663,1.9736622300380495,0.45963626814904945,9.0,0.7543777681062953,1.0,17.102259618183407,11.793256111754381,0.2916389410339024,0.36507397206049713,0.7911877394636014,8.698854968123142,-3.590319677919844,0.0,2.0,0.29219363279546445,0.5,2.1077699422945155,2.1077699422945155,0.7512742676020199,7.0,0.4261854304122613,1.0,58.443230099777146,47.62151263716497,0.6469181267568286,0.4431393421060681,0.8448275862068965,4.3725748126302815,-2.40302971438625,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5043938444398023,0.75,28.225659828881724,28.519499499306626,0.8878608916517841,0.07437589981799908,0.9206349206349206,1.7526517661750531,-1.6044885993257492,0.0,2.0,0.0,0.5,3.6938465797812543,3.6938465797812543,0.9107496838161935,2.0,0.08597356108895657,1.0,52.53825454235718,52.53825454235718,0.8924219711869568,0.22414589712623717,0.20480182671015806,0.2852747591808684,0.055124253492184576,0.007975194046293807,0.01934407074649883,0.0
3,5e-05,0.6408963670540873,0.6603408114985317,0.4530834973595616,0.9202508960573476,0.900464127557124,0.8823529411764706,0.19444444444444445,10.267765517485392,-6.061513650730048,0.6836463054896036,0.9838709677419355,0.2293686460886509,-0.07121314071905072,1.0,0.11133200795228629,0.0,1.1297316850394368,1.1297316850394368,0.9378744780163966,2.0,0.5180082660893525,1.0,3.0106798825002823,3.0106798825002823,0.8964008614164019,2.0,0.7160130900216318,1.0,4.016962270698986,4.016962270698986,0.058431590444831094,0.6991819673236398,0.9568733153638814,3.96641850558879,1.6075374816208459,0.0,5.0,0.44808445428230886,1.0,8.91052300735663,1.9736622300380495,0.45963626814904945,9.0,0.7543777681062953,1.0,17.102259618183407,11.793256111754381,0.2916389410339024,0.36507397206049713,0.7911877394636014,8.698854968123142,-3.590319677919844,0.0,2.0,0.29219363279546445,0.5,2.1077699422945155,2.1077699422945155,0.7512742676020199,7.0,0.4261854304122613,1.0,58.443230099777146,47.62151263716497,0.6469181267568286,0.4431393421060681,0.8457854406130269,4.3725748126302815,-2.40302971438625,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5043938444398023,0.75,28.225659828881724,28.519499499306626,0.8878608916517841,0.07437589981799908,0.9246031746031745,1.7526517661750531,-1.6044885993257492,0.0,2.0,0.0,0.5,3.6938465797812543,3.6938465797812543,0.9107496838161935,2.0,0.08597356108895657,1.0,52.53825454235718,52.53825454235718,0.8924219711869568,0.21326317226286767,0.19715283931580313,0.2761828889547795,0.04997809502686506,0.014163546595263692,0.01611033368666684,0.0
