epoch,delta_selection_proxy,delta_macro_subtype_auc,macro_subtype_auc,train_loss,train_slice,train_study
0,0.0,0.0,0.84507528747292,,,
1,0.0013535514652898873,0.009023676435265915,0.854098963908186,0.07037612333590151,0.022681494458363607,0.09538925775507581
2,0.0006444991789819554,0.004296661193213036,0.8493719486661331,0.03956621833862851,0.01369620356350564,0.05174002955024575
3,0.0010550082101806358,0.007033388067870905,0.852108675540791,0.028708085929777218,0.01214199375289564,0.033132184353763174
4,0.004191805909930885,0.027945372732872564,0.8730206602057926,0.02607605653897584,0.011726293059137579,0.028699526959676536
5,0.004292685193791229,0.028617901291941528,0.8736931887648616,0.024285143030901457,0.010664179330118574,0.027241927401565762
6,0.005043297084611342,0.033621980564075615,0.8786972680369957,0.02212109672257899,0.009613603908711901,0.025014985627734184
7,0.004448678625646757,0.029657857504311713,0.8747331449772318,0.020013626922501384,0.008713715906476583,0.022599822032049608
8,0.0062267019259694524,0.04151134617312968,0.8865866336460497,0.01905072483127551,0.008684898041582737,0.02073165357938554
9,0.0066424443851459125,0.04428296256763942,0.8893582500405595,0.01652461775284914,0.007729508181700322,0.01759021914229764
10,0.006128068823600547,0.04085379215733698,0.885929079630257,0.015409416652054338,0.00692166211872693,0.016975509066654813
11,0.004915827909017417,0.032772186060116115,0.8778474735330362,0.01447439714357346,0.006486795139678109,0.0159752040077907
12,0.005272351129886782,0.03514900753257855,0.8802242950054986,0.013052626465983815,0.005962492647086037,0.014180267637795554
13,0.005255311132365292,0.03503540754910195,0.880110695022022,0.011879076443092548,0.005573515914595471,0.012611121056994155
