epoch,learning_rate,calibration_checkpoint_score,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,train_physical_volume,train_physical_volume_subtype,train_physical_volume_total,train_diffuse_tversky,train_sah_tversky,train_sah_positive_pixel
0,0.0005,0.5866680238812032,0.6661624032001503,0.4591058994385365,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.762715762077947,-6.236356064112846,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05302422351017982,0.9007936507936508,1.8452775987772128,-1.7972904782662302,0.0,2.0,0.0,0.5,4.0512448266618755,4.0512448266618755,0.9670648035950418,2.0,0.05937364795154258,1.0,56.96177046381578,56.96177046381578,0.9590279168068016,,,,,,,,,,,,,
1,0.00046650635094610973,0.586826136299097,0.666308282947838,0.4593711353434233,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.76126845417638,-6.231359933414666,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05435040303461356,0.9007936507936508,1.8435791718853438,-1.7922943475680504,0.0,2.0,0.0,0.5,4.0318911309824195,4.0318911309824195,0.9640152483723605,2.0,0.06094643094510169,1.0,56.86899031986192,56.86899031986192,0.9574684419131616,0.21597580550232343,0.19478399869632407,0.269241729388536,0.053962221019901335,0.01780207549865748,0.016527058877301617,0.0,0.0,0.0,0.0,0.0,0.0,0.7063935701566266
2,0.00037500000000000006,0.5868689608965536,0.666350173976092,0.4594473008493393,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.761313241006382,-6.230202430061985,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05473123056419369,0.9007936507936508,1.842883846339933,-1.7911368442153692,0.0,2.0,0.0,0.5,4.029310638225159,4.029310638225159,0.9636086410093363,2.0,0.06138515196811161,1.0,56.840535928576145,56.840535928576145,0.9570081282591273,0.22223156284872847,0.2008677088584837,0.2796347452075568,0.05153163366531492,0.021381189014106412,0.015493577261902255,0.0,0.0,0.0,0.0,0.0,0.0,0.71212847293247
3,0.00025,0.5872064974087611,0.6666511314732741,0.45999449629876166,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.75633321688229,-6.218523535657107,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05746720781130522,0.9007936507936508,1.8377388649852913,-1.7794579498104912,0.0,2.0,0.0,0.5,3.9596373337791166,3.9596373337791166,0.9526302422076836,2.0,0.06467628756785383,1.0,56.62840931405023,56.62840931405023,0.9533503884785554,0.208013086945507,0.18871622426871812,0.2628691971498747,0.04765074347259581,0.02346985732998988,0.014670146211075217,0.0,0.0,0.0,0.0,0.0,0.0,0.6432287640894206
4,0.00012500000000000006,0.5867793136906566,0.6662622788851749,0.45928749159312643,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.761037843374833,-6.233331533199582,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05393218428312913,0.9007936507936508,1.8450674207307671,-1.7942659473529663,0.0,2.0,0.0,0.5,4.039632609254202,4.039632609254202,0.965235070461433,2.0,0.060460939838371745,1.0,56.919201306148324,56.919201306148324,0.9582820632571881,0.21637854533325326,0.19651175917375205,0.27539636534039336,0.048859680444540046,0.00806480287800915,0.01810490668736779,0.0,0.0,0.0,0.0,0.0,0.0,0.6622262255045841
5,3.3493649053890325e-05,0.587010831569247,0.6664778583150734,0.45967945419294204,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.759323573695571,-6.225964432904013,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05589199728220732,0.9007936507936508,1.8412871559133108,-1.7868988470573974,0.0,2.0,0.0,0.5,4.0125374353029635,4.0125374353029635,0.9609656931496791,2.0,0.0627591468471158,1.0,56.75957811445639,56.75957811445639,0.9555860690408546,0.20696818346631016,0.18902413992106717,0.26326676996627657,0.048987283691819206,0.015103937398908173,0.015302772866071995,0.0,0.0,0.0,0.0,0.0,0.0,0.5981348023992707
6,0.0,0.586854175640092,0.6663279624150962,0.4594069161929837,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.759925237311181,-6.229716144003797,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05452930728241563,0.9007936507936508,1.843896932732797,-1.7906505581571812,0.0,2.0,0.0,0.5,4.028020391846528,4.028020391846528,0.9634053373278242,2.0,0.0611919473789117,1.0,56.8506500805606,56.8506500805606,0.9571354073640528,0.20781558036509126,0.18946519292423827,0.26404690486763177,0.048880055250919645,0.014533857120798053,0.018001500513913925,0.0,0.0,0.0,0.0,0.0,0.0,0.6116796000046109
