epoch,delta_selection_proxy,delta_macro_subtype_auc,macro_subtype_auc,train_loss,train_slice,train_study
0,0.0,0.0,0.84507528747292,,,
1,0.0013494463749778752,0.008996309166519167,0.8540715966394392,0.07007857631914992,0.022606876965325613,0.09494339870764862
2,0.00040640394088671815,0.0027093596059114544,0.8477846470788315,0.04012938758783137,0.013840402592904866,0.052577969989852986
3,0.0007635467980295407,0.005090311986863605,0.8501655994597836,0.028838723730487348,0.012099268174586961,0.03347891111180078
4,0.0033796176644309895,0.02253078442953993,0.86760607190246,0.02613695904898513,0.011825782852471232,0.028622352393027798
5,0.004512622590539373,0.030084150603595816,0.8751594380765159,0.02422733245786244,0.010576216298012206,0.027302232319700467
6,0.0057582024351705615,0.03838801623447041,0.8834633037073905,0.021938198517770277,0.009488647436508192,0.02489910216252417
7,0.004523189887536016,0.03015459925024011,0.8752298867231602,0.020020911638467524,0.00874999992377595,0.022541823429383153
8,0.006465416800338214,0.043102778668921427,0.8881780661418415,0.01916077481723382,0.00880134621491799,0.020718857204631663
9,0.006549266580517249,0.043661777203448326,0.8887370646763684,0.016702285611747428,0.007939416470225506,0.017525738283043837
10,0.0065110814951623575,0.04340720996774905,0.8884824974406691,0.01568569725429816,0.007130262003136942,0.01711087050232244
11,0.00580314705268008,0.0386876470178672,0.8837629344907872,0.014902611615493265,0.006812408017979648,0.016180407195027235
12,0.006806028361351873,0.04537352240901249,0.8904488098819325,0.013669009279997906,0.006399873973770389,0.01453827061245503
13,0.005610827444290184,0.03740551629526789,0.8824808037681879,0.012483525344157595,0.0059200300870893095,0.013126990514136572
14,0.005413783109314834,0.03609188739543223,0.8811671748683523,0.011597907404254332,0.005320412684970786,0.012554989438567098
15,0.005261386066379042,0.035075907109193616,0.8801511945821137,0.011148893029417333,0.005433165411187264,0.01143145523646014
16,0.005353446027182051,0.03568964018121368,0.8807649276541337,0.009613857202680067,0.004822953723795273,0.00958180695776959
