epoch,checkpoint_score,total_volume_mae_ml,total_volume_bias_ml,normal_fpr,presence_f1,critical_trigger_macro_f1,checkpoint_eligible,delta_total_volume_mae_ml,delta_absolute_total_volume_bias_ml,train_loss,train_slice,train_study,train_total
0,-10.267765045166016,10.267765045166016,-6.061513900756836,0.19444444444444445,0.8823529411764706,0.6217897055663013,,,,,,,
1,-10.872392654418945,10.872392654418945,-7.2524542808532715,0.19444444444444445,0.8823529411764706,0.614580588493632,True,0.6046276092529297,1.1909403800964355,0.07916960632428527,0.01749423984438181,0.049085976251472645,0.09944353705773559
2,-11.647333145141602,11.647333145141602,-8.618318557739258,0.19444444444444445,0.8823529411764706,0.614580588493632,True,1.379568099975586,2.556804656982422,0.06775008770637214,0.01478045448087729,0.04102925332084011,0.08879077697817522
3,-11.802411079406738,11.802411079406738,-8.893780708312988,0.19444444444444445,0.8823529411764706,0.6046991655687307,True,1.5346460342407227,2.8322668075561523,0.06215229596441182,0.013332911784975575,0.037551606056065515,0.08262271546901992
4,-11.655219078063965,11.655219078063965,-8.72037124633789,0.19444444444444445,0.8823529411764706,0.614580588493632,True,1.3874540328979492,2.6588573455810547,0.05977323930710554,0.012942645089844098,0.03562180543443761,0.08045696251792833
