epoch,learning_rate,calibration_checkpoint_score,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,train_physical_volume,train_physical_volume_subtype,train_physical_volume_total,train_diffuse_tversky
0,2e-05,0.5866680238812032,0.6661624032001503,0.4591058994385365,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.762715762077947,-6.236356064112846,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05302422351017982,0.9007936507936508,1.8452775987772128,-1.7972904782662302,0.0,2.0,0.0,0.5,4.0512448266618755,4.0512448266618755,0.9670648035950418,2.0,0.05937364795154258,1.0,56.96177046381578,56.96177046381578,0.9590279168068016,,,,,,,,,,,
1,1.7071067811865477e-05,0.5657601890417007,0.6514839066770678,0.445890919267276,0.9063620071684588,0.8955686595301892,0.8823529411764706,0.19444444444444445,11.636108863313275,-8.098728874356294,0.6584017578350874,0.967741935483871,0.4709625170623936,-0.03358791397086091,1.0,0.0,0.0,1.1942440039709568,1.1942440039709568,0.9914309624850203,2.0,0.3211079764042062,1.0,7.873172372128776,7.873172372128776,2.214108020730885,2.0,0.7436624559594397,1.0,7.228287887274764,7.228287887274764,0.11061688676260317,0.6877552872832895,0.9703504043126685,4.364241321664669,1.6211465752451935,0.0,5.0,0.4270062400232187,1.0,8.5829034044739,2.493943765293807,0.39346739769904215,9.0,0.7499024808862537,1.0,18.774377326537767,10.026124892559299,0.3630707229676061,0.2815077845527691,0.8045977011494252,8.346389859463073,-5.872601287043361,0.0,2.0,0.08860759493670886,0.5,2.784817035193117,2.784817035193117,0.9599136085364148,7.0,0.3142375347454384,0.8571428571428571,67.25236704822562,58.33759362545662,0.8881393043344872,0.5362286405564797,0.8879310344827587,3.700692307765394,-2.037783881015332,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5862994854701533,0.875,23.882684912519288,14.72223913069855,0.4147854868955207,0.06556112610875434,0.8472222222222222,1.790575971868261,-1.7759023675719352,0.0,2.0,0.0,0.5,3.967378812050899,3.967378812050899,0.953850064296756,2.0,0.07258991624240434,1.0,55.77113337357238,55.77113337357238,0.9430393087041149,0.21759817842701482,0.1978928791020963,0.26373251829997146,0.07224668645017193,0.023608167119698428,0.04627452540726964,0.0,0.0,0.0,0.0,0.2712222932785651
2,1e-05,0.5730298140818818,0.6600291427941144,0.4530109378539061,0.913978494623656,0.9111971905824614,0.8823529411764706,0.19444444444444445,11.82047331782127,-8.452517678681723,0.6377308302214947,0.9903225806451612,0.6451329925433327,-0.322169349720196,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.40365081701751804,1.0,5.712271856158933,5.712271856158933,1.5944370115747593,2.0,0.6985206169342146,1.0,15.197434038370393,15.197434038370393,0.24821461264189454,0.6868096055860665,0.9743935309973046,4.362636543618908,1.6603746668523696,0.0,5.0,0.4386203850259506,1.0,8.061663688379912,2.7549056871794164,0.43463913931238,9.0,0.7441599121645622,1.0,19.633447374636116,9.204521616891132,0.352582948404741,0.3215531828868357,0.8065134099616857,7.887743891449699,-5.861930290921716,0.0,2.0,0.051696284329563816,0.5,2.843129982589306,2.843129982589306,0.9778833702269875,7.0,0.3516618591844762,1.0,64.9896893063234,55.83014729960688,0.8675007995991527,0.5544034423662569,0.8879310344827586,3.487439605649095,-2.1655504324791273,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5921097679808275,0.875,23.52471165666193,14.875753176675033,0.4274500644390386,0.06455762820887667,0.8968253968253969,1.790648043638356,-1.7632422724130545,0.0,2.0,0.0,0.5,3.5661121882968447,3.5661121882968447,0.8906226193464968,2.0,0.07248137084331813,1.0,55.96155060556427,55.96155060556427,0.9437657099295103,0.211987474742699,0.19366803760379062,0.2592960241997596,0.06932540861897404,0.017234713976481228,0.04164611277472797,0.0,0.0,0.0,0.0,0.26359700232055716
