epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.45344971027180014,0.9228845477797264,0.7713445003246548,0.9810606866975955,0.2585562056663796,0.8632080475753328,0.6061601935827059,0.4728941547162446,0.2098794908935056,0.8010752688172044,0.7809190271977016,0.8823529411764706,0.19444444444444445,18.656696873575513,4.631370327356932,0.08537083286936141,0.9806451612903226,7.996827536276255,7.996827536276255,1.0,0.005770155473633595,1.0,29.771669083158635,29.771669083158635,24.715681582454323,2.0,0.040673136853352325,1.0,82.80030492102645,82.80030492102645,24.456185769390217,2.0,0.184631918323482,1.0,92.6296285833423,92.6296285833423,1.7186073671494742,0.564015349459955,0.8908355795148248,5.140284160360362,0.42580516105703353,0.0,5.0,0.09936792591503749,1.0,7.824247845388589,4.465581619907331,0.8746532124670408,9.0,0.5992153267091227,1.0,31.960238073725456,21.363552483460975,0.7820841765172464,0.04247236799279495,0.6542145593869731,8.898707186939838,-7.588619918566002,0.0,2.0,0.0,0.5,2.5316602137514277,2.5316602137514277,0.8819006121988753,7.0,0.044851241342618094,0.42857142857142855,78.5343882986351,66.43330836661832,0.9992249470492806,0.3575389041454165,0.7241379310344828,8.725917190944518,5.699031053553871,1.0,0.0,1.0,3.039011701475311,3.039011701475311,2.5809607859647326,0.0,8.0,0.5976142206873186,1.0,20.472758050706247,8.897558761554063,0.14722278093347524,0.0,0.6547619047619048,1.9016735049642228,-1.9016735049642228,0.0,2.0,0.0,0.0,4.26026474,4.26026474,1.0,2.0,0.0,0.0,59.44579767630145,59.44579767630145,1.0
2,0.00018090169943749473,0.5391227408534383,0.6832585635028804,0.6132928765227281,0.8554673539443666,0.12705862931726003,0.25537193354924653,0.279862754863758,0.555789407520105,0.3217101223442189,0.8584229390681004,0.8088130567356961,0.84375,0.16666666666666666,16.29974260415489,-14.294685910850614,0.5103522604798911,0.9741935483870967,0.8485706310222382,-0.6125208645220238,1.0,0.15384615384615385,1.0,1.0858633081660032,1.0858633081660032,0.9014560685777325,2.0,0.3447093122963471,1.0,3.138495928290409,3.138495928290409,0.8885072686303583,2.0,0.5585250219490782,1.0,24.159023158430312,24.159023158430312,0.32404418962890663,0.5721323292365315,0.8962264150943395,3.990201694520107,-2.8805814212322467,0.0,5.0,0.34817012858555885,1.0,6.137537075984862,1.8850828090497966,0.36922261757607583,9.0,0.5955111863519766,1.0,24.790180706900223,16.359088784054027,0.6209535921386417,0.08606448287371717,0.7614942528735632,9.62062319745871,-6.605006275528319,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.09581373471307619,0.7142857142857143,76.81839825958079,47.6035702663181,0.9556367044947014,0.4299256665968122,0.8486590038314176,4.177387369660985,-2.3590831666467085,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.48497152829440926,0.875,27.408733685470736,21.453788774440582,0.604577111385431,0.010075872534142641,0.5634920634920635,1.8933541986378877,-1.8374941829213172,0.0,2.0,0.04734111543450065,0.5,3.954476348264595,3.954476348264595,0.9518170274816351,2.0,0.006360714041447234,0.5,58.53723404285208,58.53723404285208,0.986425119095677
3,0.00015877852522924732,0.5768460019398977,0.5163190549988287,0.46580288457712066,0.6374465351880982,0.1216251299874331,0.17787711554364707,0.2020646876522473,0.6046237797176754,0.39122424932268346,0.8637992831541219,0.8687377176264199,0.8450704225352113,0.2777777777777778,14.999581852054238,3.3482027923209103,0.6048765505826948,0.9838709677419355,1.1865423000137427,1.1559001515137726,1.0,0.20257826887661143,1.0,1.0265119747490048,1.0265119747490048,0.8521841028665987,2.0,0.4002250035156799,1.0,5.266306195556295,5.266306195556295,1.4285923674970429,2.0,0.6382134579879797,1.0,33.918994034193915,33.918994034193915,0.5540551287492899,0.6582298174132062,0.9326145552560647,4.623982190823287,2.641255356061891,0.0,5.0,0.4011708179157232,1.0,12.882262763579444,2.6043804061820977,0.44437912926119305,9.0,0.7084039079951886,1.0,19.505767526472212,9.738310640648113,0.40748833669341683,0.21899059024807527,0.7203065134099618,10.027866605982071,-3.2321609576066477,0.0,2.0,0.0,0.5,2.6614627233934867,2.6614627233934867,0.9219006511140495,7.0,0.2705083323922758,1.0,62.69828541906217,45.58418686681168,0.6857016468997983,0.3795436679221988,0.8735632183908045,6.4791597501336256,0.2320232162191393,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.50142083466072,1.0,32.309628172419295,29.087936734861355,0.8151241118228387,0.09448062044724219,0.8333333333333334,4.122404015097492,2.5511850261327553,0.0,2.0,0.12012833820892706,0.5,21.528438358719118,21.528438358719118,3.7089918770502948,2.0,0.1408026504028311,1.0,51.883249660426245,51.883249660426245,0.8855539072673386
4,0.00013090169943749474,0.5660500278133516,0.41033977843152725,0.3715214204577655,0.4977674052564805,0.12091972920524345,0.11301429366941976,0.15527343564354304,0.6132722500355738,0.3919185090103832,0.8879928315412187,0.8754614707833168,0.7692307692307693,0.4722222222222222,13.839186050305326,6.501029476434474,0.5208476360474164,0.9193548387096775,1.5985754826173417,1.5670860081373754,1.0,0.18796992481203006,1.0,1.0548973950788736,1.0548973950788736,0.8757489560327931,2.0,0.35176520629519353,1.0,8.794763635060859,8.794763635060859,2.561643694274347,2.0,0.5738935574229692,1.0,40.54656251102732,40.54656251102732,0.7181386379317414,0.6392725658257007,0.9400269541778976,4.937523257588193,1.4335511096563234,0.0,5.0,0.35550266031923833,0.8,11.143146381746618,3.224361691884857,0.6315410963244866,9.0,0.6794081381011098,1.0,24.633855064766706,14.150660997918916,0.5704984643746536,0.32931636610693066,0.7835249042145593,9.387704415315861,1.8109888579390059,0.0,2.0,0.05303236333967909,0.5,13.458609433529608,13.458609433529608,4.249157495140036,7.0,0.4289458645800411,1.0,36.28885844394987,38.959717762772726,0.3310900663663191,0.4637180820863389,0.8812260536398467,6.496210280155768,3.452770046074715,1.0,0.0,1.0,2.7115612919437178,2.7115612919437178,2.302864895139812,0.0,8.0,0.6654891066585003,0.875,19.416861653762744,10.588247923118974,0.2681754047214588,0.006437894985529502,0.8531746031746031,1.8722323413427413,-1.763366545372945,0.0,2.0,0.0,0.5,3.5725634201899967,3.5725634201899967,0.8916391377540571,2.0,0.007335127860026918,0.5,57.32371793229774,57.32371793229774,0.9685071359571533
5,9.999999999999999e-05,0.6264965460670054,0.3324075498157165,0.29689353305933086,0.39191500253455586,0.10843247396599168,0.08394851186274059,0.14205606563938813,0.6487187682892277,0.44427493462467255,0.917562724014337,0.8606582469423781,0.8695652173913043,0.2222222222222222,9.659534311034035,-7.0400463639667805,0.6375738827818593,0.9774193548387097,0.6517861806873146,-0.5162562079861875,1.0,0.16030534351145037,1.0,1.07554133713696,1.07554133713696,0.8928870310627527,2.0,0.5857232572744401,1.0,2.7425076691582415,2.7425076691582415,0.8496787173158133,2.0,0.6548460291734197,1.0,18.47209306199058,18.47209306199058,0.3507853751416884,0.6860622897896449,0.9690026954177898,2.9364871335089164,-0.7573701961962155,0.0,5.0,0.4433516462407315,1.0,7.009347476461104,0.7355311212351792,0.1255018961220615,9.0,0.7126427852615597,1.0,15.45791716617664,12.703912525240728,0.4969228762593521,0.4425105349433988,0.7471264367816092,8.161797574300845,-1.557533092035814,0.0,2.0,0.15991356023770933,0.5,1.4682901074406969,1.4682901074406969,0.5542116811377159,7.0,0.5298300524393927,1.0,46.094428158199534,37.52754428249298,0.5246389228014339,0.448914371651471,0.8994252873563218,4.350827049168485,-2.4842434262792414,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5006814131460321,0.75,28.48201461028549,26.790300098203666,0.8535656817044748,0.006313593956988641,0.7103174603174603,1.923368351856841,-1.724643441469322,0.0,2.0,0.0,0.5,2.7068081001289985,2.7068081001289985,0.7552223674594463,2.0,0.007644007644007644,1.0,58.39738943808422,58.39738943808422,0.9842052153634432
6,6.909830056250526e-05,0.6253892043089883,0.2798928584519811,0.25090547698082716,0.33168705297862966,0.09333636990030515,0.052823446342757166,0.11594952785246,0.6476114265312105,0.4466763454190287,0.8956093189964158,0.8883776056787998,0.8695652173913043,0.2222222222222222,10.240223778711835,-5.409576337459919,0.6614736243962497,0.9838709677419355,0.4298021950901539,-0.07044501728121952,1.0,0.23465703971119134,1.0,0.998126554419136,0.998126554419136,0.8286192497004043,2.0,0.5777414075286416,1.0,3.5296838648236513,3.5296838648236513,1.048653521045983,2.0,0.6896571314944749,1.0,9.856518700896952,9.856518700896952,0.18966495501038985,0.7084990845124566,0.944743935309973,3.97275595226623,1.5282533758616486,0.0,5.0,0.43137125728778947,1.0,9.807479077576872,1.5439385699817665,0.34177332436526003,9.0,0.7518907797572529,1.0,17.862420987808473,12.91413105089973,0.35397410129227197,0.3343164117420106,0.7844827586206895,8.997164736676714,-3.60753578355597,0.0,2.0,0.2668024439918534,0.5,3.5723220442064925,3.5723220442064925,1.2025917439075573,7.0,0.3963761944572496,1.0,59.95324678339927,55.345703286741454,0.7388879749575386,0.5038513715481364,0.9272030651340996,4.120227726520294,-1.526554942216342,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5744244418084946,0.875,24.13192916524605,16.084624225550186,0.45956948030665246,0.025241234896290217,0.8015873015873016,1.8539605155555887,-1.7332939702680357,0.0,2.0,0.03002729754322111,0.5,2.2616730995015106,2.2616730995015106,0.685082597337776,2.0,0.025740897544453852,0.5,57.82483953804419,57.82483953804419,0.9758527815818863
7,4.122147477075269e-05,0.6208386766548262,0.24970737891735825,0.22755621366227585,0.29746893137396374,0.09194035012974246,0.04044585843861375,0.0886046593866475,0.6458386766548262,0.4370324273433721,0.9041218637992832,0.8948952165079099,0.8571428571428571,0.25,9.15902229913726,-4.580417003237898,0.6709855387444621,0.9774193548387096,0.329936659939838,0.30715153416346774,1.0,0.35038759689922483,1.0,0.7633017135084033,0.7633017135084033,0.6336736462346143,2.0,0.4776395871923789,1.0,5.857941625322324,5.857941625322324,1.705683327120469,2.0,0.7258536585365853,1.0,3.643996547461011,3.643996547461011,0.08668677660561215,0.7040118502465439,0.9420485175202157,3.946757897804032,1.3182580446954193,0.0,5.0,0.45628093330190905,1.0,8.785432873283288,1.3040824529936783,0.2225124346545297,9.0,0.7431965394067647,1.0,18.9773260150672,12.636022483900295,0.3453664778685543,0.35117884425043777,0.78544061302682,9.224580943231071,-2.95624452439462,0.0,2.0,0.24473007712082262,0.5,1.327273569453217,1.327273569453217,0.5107559188205085,7.0,0.41992814772766235,1.0,57.92470188878009,49.604144615743834,0.7229440356318289,0.4140741330120372,0.8965517241379309,5.1143170640786195,-1.5979037051101133,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5029302739754395,0.75,28.479395796564905,30.179172076240725,0.9475169529587897,0.044911770463379845,0.873015873015873,1.8275526931554515,-1.6516783525920506,0.0,2.0,0.0,0.5,3.473214449035456,3.473214449035456,0.8759847542776265,2.0,0.052276944109892254,0.5,54.803905567235205,54.803905567235205,0.9311116947864657
8,1.9098300562505263e-05,0.6147668215083556,0.23352635667916152,0.2155626467418949,0.28320218241491985,0.08605384573115758,0.02724779303788217,0.07185484011939099,0.6342112659528001,0.4251167900186489,0.8978494623655914,0.8736146182191055,0.8823529411764706,0.19444444444444445,10.798763805434605,-6.792501248178077,0.6683197355089853,0.9741935483870968,0.5333073272411794,-0.39605661055942787,1.0,0.17424242424242425,1.0,1.0652193661079168,1.0652193661079168,0.884317993547773,2.0,0.6297511093961027,1.0,2.139986591096145,2.139986591096145,0.5691083568603837,2.0,0.6849012555997224,1.0,15.034236275106213,15.034236275106213,0.2604491396663712,0.7087081797942049,0.9690026954177898,4.324399957061398,2.267459317874769,0.0,5.0,0.4429009953179746,1.0,10.602519534145255,3.5408981423825026,0.5586445039335047,9.0,0.7554670733260243,1.0,19.231464997870244,12.120175948336826,0.26975696806099003,0.31693576868084583,0.7777777777777777,9.18409994974001,-4.1252651502788895,0.0,2.0,0.24301336573511542,0.5,1.928065269602956,1.928065269602956,0.6958963406210775,7.0,0.3702434255783922,0.8571428571428571,63.143942901632464,55.170765170984495,0.7283096660477724,0.4279130753359943,0.9090038314176245,4.481475830097398,-2.7308791895353433,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.47465119097695047,0.375,30.0545525167121,30.558205408,0.999709130826461,0.0037071907732140756,0.7380952380952381,1.883384162000266,-1.8077596156791849,0.0,2.0,0.0,0.5,2.811318056798061,2.811318056798061,0.7716899656619254,2.0,0.0043376480308454975,0.5,59.01534021933273,59.01534021933273,0.9936117677920204
