epoch,selection_proxy,any_ich_auc,macro_subtype_auc,delta_selection_proxy,delta_any_ich_auc,delta_macro_subtype_auc,train_loss,train_slice,train_study
1,0.6599502082826195,0.9202508960573477,0.897860106117709,-4.105090311978809e-06,0.0,-2.7367268746525397e-05,0.05354942113999483,0.018079642170610335,0.07093955793876895
2,0.659835265753884,0.9202508960573477,0.8970938225928047,-0.00011904761904761861,0.0,-0.0007936507936507908,0.026981810467701522,0.009764093726586837,0.03443543348222937
3,0.659835265753884,0.9202508960573477,0.8970938225928047,-0.00011904761904761861,0.0,-0.0007936507936507908,0.01692251916578945,0.006924355102595515,0.01999632812638786
4,0.6601883035207148,0.9202508960573477,0.8994474077050105,0.00023399014778325842,0.0,0.0015599343185550563,0.014180823364482202,0.0063409551199024115,0.01567973648915958
5,0.6603584606384867,0.9202508960573477,0.9005817884901562,0.0004041472655551159,0.0,0.002694315103700773,0.012752822166853391,0.005770806203005263,0.013964031927696262
6,0.6600576607080458,0.9202508960573477,0.8985764556205508,0.0001033473351142955,0.0,0.0006889822340953033,0.011928260189444425,0.005569639132143213,0.01271724211460242
7,0.66068213264302,0.9202508960573477,0.9027396018537119,0.00072781927008847,0.0,0.004852128467256467,0.011207833513377423,0.00538662828442354,0.011642410457907766
8,0.661003568959902,0.9202508960573477,0.9048825106329252,0.0010492555869704655,0.0,0.006995037246469771,0.01049780525950408,0.005030842887488409,0.010933924744031338
9,0.6615994266914136,0.9202508960573477,0.9088548955096691,0.0016451133184820499,0.0,0.010967422123213666,0.00974080735698023,0.004766875904841492,0.009947862904277478
10,0.661784155755453,0.9202508960573477,0.9100864226032653,0.0018298423825214793,0.0,0.012198949216809862,0.009710426708862234,0.004556096107430326,0.010308661202863813
11,0.6615853739403784,0.9202508960573477,0.9087612105027683,0.001631060567446918,0.0,0.010873737116312787,0.008854028832845069,0.004166664264630526,0.009374729136429085
12,0.6615438143358663,0.9202508960573477,0.9084841464726873,0.00158950096293477,0.0,0.0105966730862318,0.008165127791940164,0.003878718302495634,0.008572818978889061
13,0.6620822008030101,0.9202508960573477,0.912073389586979,0.002127887430078534,0.0,0.014185916200523563,0.0075930326485888775,0.0036664689413065878,0.00785312741456458
14,0.6619097870099067,0.9202508960573477,0.9109239642996227,0.0019554736369750913,0.0,0.013036490913167276,0.007284819465814511,0.003464775923370885,0.00764008708488725
15,0.6619754684548984,0.9202508960573477,0.911361840599568,0.0020211550819668853,0.0,0.01347436721311257,0.007078317568013879,0.0032819092761761006,0.007592816583675554
16,0.6619454935501675,0.9202508960573477,0.9111620079013619,0.001991180177235968,0.0,0.013274534514906455,0.006483263894177875,0.0031080318596930457,0.006750464068969659
17,0.6620095484499413,0.9202508960573477,0.9115890405665208,0.002055235077009798,0.0,0.013701567180065322,0.005755184949343565,0.00272670107257839,0.006056967753530351
