epoch,selection_proxy,any_ich_auc,macro_subtype_auc,delta_selection_proxy,delta_any_ich_auc,delta_macro_subtype_auc,train_loss,train_slice,train_study
0,0.6599543133729315,0.9202508960573477,0.8978874733864555,0.0,0.0,0.0,,,
1,0.6599502082826195,0.9202508960573477,0.897860106117709,-4.105090311978809e-06,0.0,-2.7367268746525397e-05,0.062313685054169385,0.0224169772476531,0.07979341561303258
2,0.659835265753884,0.9202508960573477,0.8970938225928047,-0.00011904761904761861,0.0,-0.0007936507936507908,0.03478893635915363,0.013241802310893456,0.04309426809652035
3,0.659835265753884,0.9202508960573477,0.8970938225928047,-0.00011904761904761861,0.0,-0.0007936507936507908,0.024225244740916693,0.01040800812188536,0.02763447323806266
4,0.6603996494606481,0.9211469534050181,0.8990642659425584,0.000445336087716558,0.0008960573476703981,0.0011767925561029235,0.021097307347736686,0.009778347242480287,0.022637920210512794
5,0.6605750400063978,0.9211469534050181,0.9002335362475561,0.000620726633466212,0.0008960573476703981,0.0023460628611006173,0.019709454858968523,0.009401031236988135,0.02061684724396077
6,0.6604455255313946,0.9211469534050181,0.8993701064142016,0.0004912121584630336,0.0008960573476703981,0.0014826330277460942,0.018919641773922333,0.009272844342586514,0.01929359486267164
7,0.6613826039663533,0.9211469534050181,0.9056172959805927,0.0014282905934217048,0.0008960573476703981,0.007729822594137237,0.017898871065996604,0.009016063006129116,0.017765616119734977
8,0.6627744569486526,0.9238351254480287,0.9095199717765672,0.002820143575721068,0.0035842293906810374,0.011632498390111712,0.016741338035396628,0.008203190364068948,0.01707629534265536
9,0.6626692237205575,0.9229390681003584,0.9106105316179403,0.002714910347625943,0.0026881720430107503,0.012723058231484785,0.015374965730679445,0.0074371960721551795,0.015875539317048534
10,0.6648691548609781,0.9283154121863799,0.914524051048701,0.004914841488046512,0.008064516129032251,0.016636577662245577,0.015224282196198518,0.007181830082957346,0.016084904226482347
11,0.6644715807369889,0.9283154121863799,0.9118735568887729,0.004517267364057292,0.008064516129032251,0.013986083502317448,0.013652956723594999,0.006600928895820219,0.01410405565554956
12,0.6654156190864777,0.9301075268817205,0.9145829164946843,0.005461305713546166,0.009856630824372825,0.01669544310822879,0.012229515062562982,0.0058685122147345775,0.012722005695656817
13,0.6648894204650684,0.9292114695340501,0.9128670403806298,0.004935107092136881,0.008960573476702427,0.014979566994174354,0.01109942130457061,0.005475263653072313,0.01124831530299659
14,0.6645382416070581,0.9292114695340501,0.9105258479938942,0.004583928234126544,0.008960573476702427,0.012638374607438774,0.010150173854435769,0.004943785297935112,0.010412777113001316
15,0.6640565793428073,0.9283154121863799,0.9091068809275622,0.004102265969875685,0.008064516129032251,0.01121940754110673,0.010000541939299674,0.004618995141264839,0.01076309359606967
16,0.6644281512301093,0.9301075268817204,0.9079997974522289,0.004473837857177831,0.009856630824372714,0.010112324065773448,0.008953548116829477,0.004326161682211722,0.009254772869235508
