epoch,delta_selection_proxy,delta_macro_subtype_auc,macro_subtype_auc,train_loss,train_slice,train_study
0,0.0,0.0,0.8978874733864555,,,
1,-0.00015947888589398218,-0.0010631925726265479,0.8968242808138289,0.05335590572864635,0.018037411348464396,0.0706369887603639
2,-0.00011904761904761861,-0.0007936507936507908,0.8970938225928047,0.02606550854062107,0.009490229574461969,0.03315055793231819
3,-0.00011904761904761861,-0.0007936507936507908,0.8970938225928047,0.016293589407900985,0.006765948801050679,0.019055281213700613
4,0.00017651888341543853,0.0011767925561029235,0.8990642659425584,0.013849021720709502,0.006270483521243127,0.015157076398932752
5,0.00048798655189405404,0.0032532436792936936,0.9011407170657492,0.012666213288091099,0.005709298013243824,0.013913830549694552
6,0.0006147356501733536,0.0040982376678223575,0.9019857110542778,0.011649088147522541,0.005554220052615095,0.01218973618981489
7,0.0007530694482339006,0.005020462988226004,0.9029079363746815,0.01092916952562416,0.005419963704368386,0.011018411642511546
8,0.000819370529499186,0.00546247019666124,0.9033499435831167,0.010425190510581293,0.005084768275712402,0.01068084446973778
9,0.001173536633995864,0.007823577559972428,0.9057110509464279,0.009878970105867826,0.004785984105323083,0.010185972001089484
10,0.0016626620173957995,0.01108441344930533,0.9089718868357608,0.009108493900126788,0.004464990954147652,0.009287005891958272
11,0.0014457118671339809,0.009638079114226539,0.907525552500682,0.00857255345334289,0.004106598606225676,0.008931909694234423
12,0.0016422475007170866,0.010948316671447245,0.9088357900579027,0.008178334043139078,0.00391730015578035,0.008522067774717456
13,0.0022251703250192266,0.014834468833461512,0.912721942219917,0.007641918909715837,0.003696981403314007,0.007889875012803657
14,0.0017401500319312701,0.011601000212875134,0.9094884735993306,0.007491107365336357,0.0035294690549982567,0.007923276620676196
15,0.002303786677220482,0.015358577848136545,0.913246051234592,0.006956106988861167,0.003355948233757562,0.007200317510207208
16,0.0016504576813410443,0.011003051208940295,0.9088905245953958,0.00670782465896572,0.0031996598632898754,0.00701632959135169
17,0.0021676990606514066,0.014451327071009379,0.9123388004574648,0.006199826684092001,0.002994442665322612,0.006410768037538778
18,0.001788791479401608,0.011925276529344053,0.9098127499157995,0.005874610084150427,0.0027264219209498083,0.006296376326401238
19,0.0018228714744444874,0.012152476496296583,0.910039949882752,0.005320553461998062,0.0025849168615737794,0.005471273200848565
