epoch,checkpoint_score,checkpoint_eligible,inner_total_volume_mae_ml,inner_total_volume_bias_ml,inner_normal_fpr,inner_presence_f1,train_loss,train_slice,train_study,train_total
0,-7.32572078704834,True,7.32572078704834,-3.3085834980010986,0.14285714285714285,0.8923076923076924,,,,
1,-7.484165668487549,True,7.484165668487549,-4.014243125915527,0.14285714285714285,0.8923076923076924,0.3818456483288453,0.07647296107517412,0.2682141703553498,0.41684822535787064
2,-7.562057018280029,True,7.562057018280029,-4.506507396697998,0.14285714285714285,0.8923076923076924,0.3759927933032696,0.0751129134486501,0.2630365236948889,0.4144099491576736
3,-7.622309684753418,True,7.622309684753418,-4.715537071228027,0.14285714285714285,0.8923076923076924,0.37280605188929117,0.07485314906359865,0.26030280856558907,0.4109031596722511
4,-7.5414838790893555,True,7.5414838790893555,-4.619143486022949,0.14285714285714285,0.8923076923076924,0.374557659889643,0.07564789479455122,0.2619189201639249,0.40988227266531724
