epoch,checkpoint_score,checkpoint_eligible,inner_total_volume_mae_ml,inner_total_volume_bias_ml,inner_normal_fpr,inner_presence_f1,train_loss,train_slice,train_study,train_total
0,-6.114112377166748,True,6.114112377166748,1.1539479494094849,0.16666666666666666,0.8985507246376812,,,,
1,-5.876113414764404,True,5.876113414764404,0.785531222820282,0.16666666666666666,0.8985507246376812,0.4362282609710327,0.09620956062840727,0.3066918089126165,0.4399993789310639
2,-5.7074785232543945,True,5.7074785232543945,0.6633535027503967,0.16666666666666666,0.8985507246376812,0.4269822279994304,0.08990466583950016,0.29842634939660245,0.4530311900083549
3,-5.535377025604248,True,5.535377025604248,0.6120131611824036,0.16666666666666666,0.8985507246376812,0.42362763847296053,0.09184384421230508,0.29570159086814296,0.4400304090231657
4,-5.299612045288086,True,5.299612045288086,0.3293778598308563,0.16666666666666666,0.8985507246376812,0.43179625931840676,0.09451380021010454,0.3028744839203472,0.4405063847807469
5,-5.460916519165039,True,5.460916519165039,0.9648123383522034,0.16666666666666666,0.8985507246376812,0.4256458609150006,0.09453439791328631,0.29903921871804273,0.427328195494528
6,,False,5.091934680938721,0.3830774426460266,0.19444444444444445,0.8857142857142857,0.41429753744831455,0.0904082775187607,0.2920522145353831,0.41940038020794207
7,,False,5.356129169464111,1.0688062906265259,0.19444444444444445,0.8857142857142857,0.41308168035287124,0.091207689498193,0.2901263125240803,0.4171170193272141
8,,False,5.169862270355225,0.6890366077423096,0.19444444444444445,0.8857142857142857,0.3998708465638069,0.08797346277592274,0.2789769143295976,0.41065878614496726
