epoch,checkpoint_score,checkpoint_eligible,inner_total_volume_mae_ml,inner_total_volume_bias_ml,inner_normal_fpr,inner_presence_f1,train_loss,train_slice,train_study,train_total
0,-7.32572078704834,True,7.32572078704834,-3.3085834980010986,0.14285714285714285,0.8923076923076924,,,,
1,-7.405318260192871,True,7.405318260192871,-3.607558250427246,0.14285714285714285,0.8923076923076924,0.4266620298417715,0.0903076260135724,0.3044770361425785,0.4319865113446632
2,-7.39733362197876,True,7.39733362197876,-3.616333484649658,0.14285714285714285,0.8923076923076924,0.43393034545274883,0.0915079340696908,0.30951579402272517,0.4411422269275555
3,-7.292288303375244,True,7.292288303375244,-3.390752077102661,0.14285714285714285,0.8923076923076924,0.4235483112816627,0.09099672211763951,0.3011092549333206,0.4268785843339104
4,-7.274427890777588,True,7.274427890777588,-3.4677891731262207,0.14285714285714285,0.8923076923076924,0.4042906566308095,0.08383921501584925,0.2878621267871215,0.4182193875312805
5,-7.314548015594482,True,7.314548015594482,-3.784595251083374,0.14285714285714285,0.8923076923076924,0.4240222369822172,0.09214765886561228,0.3041992812202527,0.41490047265632224
6,-7.168936252593994,True,7.168936252593994,-3.33538556098938,0.14285714285714285,0.8923076923076924,0.4275783713047321,0.09148731215212208,0.3021486805608639,0.4379182048858358
7,-7.080365180969238,True,7.080365180969238,-3.2632453441619873,0.14285714285714285,0.8923076923076924,0.43829028566296285,0.09265147230158058,0.3059866617505367,0.46459526597307277
8,-7.128435134887695,True,7.128435134887695,-3.579606533050537,0.14285714285714285,0.8923076923076924,0.40610218406296694,0.08951578934032184,0.2842649578904876,0.41355071102197355
9,-6.968571186065674,True,6.968571186065674,-3.1865694522857666,0.14285714285714285,0.8923076923076924,0.3873926649013391,0.08456157005947226,0.27279731767395365,0.39293243105594927
10,-7.178252220153809,True,7.178252220153809,-3.700392723083496,0.14285714285714285,0.8923076923076924,0.375647501876721,0.08520009415224195,0.26570300113123196,0.36468064004125506
11,-7.268706321716309,True,7.268706321716309,-3.943570613861084,0.14285714285714285,0.8923076923076924,0.374078858930331,0.0833092608775657,0.2613310917065694,0.37908512045844245
12,-7.850522994995117,True,7.850522994995117,-4.725412845611572,0.14285714285714285,0.8923076923076924,0.3615057823749689,0.08460084732192066,0.2510460469012077,0.3544816002339268
13,-7.569818496704102,True,7.569818496704102,-4.1197404861450195,0.14285714285714285,0.8923076923076924,0.35481263209994024,0.08589243075738733,0.2480884063272522,0.3314155934450145
