epoch,checkpoint_score,checkpoint_eligible,inner_total_volume_mae_ml,inner_total_volume_bias_ml,inner_normal_fpr,inner_presence_f1,train_loss,train_slice,train_study,train_total
0,-7.32572078704834,True,7.32572078704834,-3.3085834980010986,0.14285714285714285,0.8923076923076924,,,,
1,-7.524704456329346,True,7.524704456329346,-4.047327995300293,0.14285714285714285,0.8923076923076924,0.3959785671188281,0.09180859232751223,0.278831884264946,0.3801842493793139
2,-7.758256435394287,True,7.758256435394287,-4.784323692321777,0.14285714285714285,0.8923076923076924,0.4016695903757444,0.091465250409853,0.28430565310498845,0.38790041630944383
3,-8.000771522521973,True,8.000771522521973,-5.246618270874023,0.14285714285714285,0.8923076923076924,0.390505167727287,0.08867490810986894,0.2771774988908034,0.3757885597073115
4,-7.724616050720215,True,7.724616050720215,-4.636037349700928,0.14285714285714285,0.8923076923076924,0.3835760738987189,0.0883494493766473,0.26973196033101815,0.37171061931607813
